abstract thinking,function
acoustic processing,function
action imitation,function
action initiation,function
action observation,function
action selection,function
affect perception,function
affect recognition,function
altruism,function
analogical problem solving,function
analogical reasoning,function
anticipation,function
antisaccade,function
apparent motion,function
apparent movement,function
apperception,function
appetitive motivation,function
arousal,function
articulation,function
articulatory loop,function
association learning,function
attentional capacity,function
attentional shifting,function
attentional span,function
attentional blink,function
attentional effort,function
attentional resources,function
audition,function
auditory attention,function
auditory learning,function
auditory localization,function
auditory memory,function
auditory perception,function
auditory working memory,function
autobiographical memory,function
autobiographical recall,function
automaticity,function
aversive learning,function
awareness,function
backward digit span,function
backward masking,function
behavioral inhibition,function
blind spot,function
categorical perception,function
category learning,function
causal inference,function
central executive,function
classical conditioning,function
cognition,function
cognitive control,function
cognitive development,function
cognitive dissonance,function
cognitive effort,function
cognitive load,function
cognitive map,function
color discrimination,function
color perception,function
concept learning,function
consciousness,function
context memory,function
contextual knowledge,function
convergent thinking,function
creativity,function
crystallized intelligence,function
deception,function
decision making,function
declarative knowledge,function
declarative memory,function
deductive inference,function
deductive reasoning,function
delayed match to sample,function
delayed nonmatch to sample,function
delayed recall,function
delayed recognition,function
digit span,function
divided attention,function
edge detection,function
emotional bonding,function
emotional intelligence,function
emotional memory,function
emotional perception,function
emotional recognition,function
emotional suppression,function
empathy,function
episodic buffer,function
episodic learning,function
episodic memory,function
episodic recall,function
error detection,function
executive control,function
executive function,function
explicit knowledge,function
explicit learning,function
explicit memory,function
eye contact,function
eye movement,function
face perception,function
face recognition,function
facial expression,function
false memory,function
familiarity,function
fear,function
feature detection,function
feature extraction,function
figure ground,function
fixation,function
fluid intelligence,function
focused attention,function
forgetting,function
form perception,function
go/no-go,function
goal formation,function
goal maintenance,function
gustation,function
gustatory learning,function
gustatory memory,function
gustatory perception,function
habit learning,function
habit memory,function
hallucination,function
handedness,function
happiness,function
hedonism,function
humiliation,function
humor,function
iconic memory,function
implicit knowledge,function
implicit memory,function
imprinting,function
inattention,function
inductive inference,function
inductive reasoning,function
inhibition of return,function
intelligence,function
intentional forgetting,function
internal speech,function
intrinsic motivation,function
introspection,function
involuntary attention,function
Iowa Gambling,function
kinesthesia,function
language acquisition,function
language comprehension,function
language learning,function
language processing,function
language production,function
letter fluency,function
letter naming,function
lexical encoding,function
lexical processing,function
lexical retrieval,function
logical reasoning,function
logical thinking,function
long term memory,function
loss aversion,function
lying,function
mathematical reasoning,function
memory acquisition,function
memory consolidation,function
memory retrieval,function
memory storage,function
memory trace,function
mental arithmetic,function
mental imagery,function
mental representation,function
mental rotation,function
metacognition,function
metamemory,function
metaphor,function
morphological processing,function
motor control,function
motor learning,function
motor planning,function
motor sequence learning,function
movement planning,function
music comprehension,function
n-back,function
nondeclarative knowledge,function
nondeclarative memory,function
novelty detection,function
novelty processing,function
object categorization,function
object identification,function
object orientation,function
object perception,function
object recognition,function
oddball,function
olfaction,function
pain,function
passive attention,function
passive listening,function
passive viewing,function
Pavlovian conditioning,function
perceptual binding,function
perceptual categorization,function
perceptual learning,function
performance monitoring,function
phonological buffer,function
phonological discrimination,function
phonological encoding,function
phonological loop,function
phonological retrieval,function
phonological working memory,function
picture naming,function
Posner cueing,function
preconscious perception,function
procedural knowledge,function
procedural learning,function
procedural memory,function
procedural rule,function
processing capacity,function
proprioception,function
prospective memory,function
recognition memory,function
reconsolidation,function
relational learning,function
repressed memory,function
reversal learning,function
reward,function
rhyme,function
rhythm,function
risk seeking,function
rule learning,function
saccade,function
selective attention,function
self monitoring,function
semantic association,function
semantic knowledge,function
semantic memory,function
semantic processing,function
semantic working memory,function
sentence completion,function
sentence comprehension,function
sentence production,function
sequence learning,function
serial learning,function
set shifting,function
short term memory,function
simple reaction time,function
skill acquisition,function
skill learning,function
social cognition,function
social intelligence,function
somatosensation,function
somatosensory perception,function
source memory,function
spatial attention,function
spatial cognition,function
spatial memory,function
spatial working memory,function
speech perception,function
speech processing,function
speech production,function
stop signal,function
stress,function
Stroop,function
subliminal perception,function
subvocal speech,function
subvocalization,function
sustained attention,function
syntactic processing,function
target detection,function
target processing,function
task switching,function
temporal discounting,function
theory of mind,function
timbre,function
top down processing,function
trail making,function
traumatic memory,function
uncertainty,function
verbal memory,function
visual attention,function
visual buffer,function
visual imagery,function
visual masking,function
visual memory,function
visual perception,function
visual search,function
visual working memory,function
visuospatial cueing,function
visuospatial sketch pad,function
Wisconsin card sorting,function
word comprehension,function
word identification,function
word production,function
word recognition,function
word repetition,function
working memory,function
working memory retrieval,function
working memory storage,function
diffusion tensor imaging,method
electroencephalography,method
functional magnetic resonance imaging,method
magnetoencephalography,method
positron emission tomography,method
single-unit recording,method
transcranial magnetic stimulation,method
addiction,pathology
agnosia,pathology
Alzheimer's disease,pathology
anhedonia,pathology
anorexia,pathology
antisocial personality disorder,pathology
anxiety,pathology
aphasia,pathology
apraxia,pathology
ataxia,pathology
attention deficit hyperactivity disorder,pathology
autism,pathology
Bell's palsy,pathology
bipolar disorder,pathology
borderline personality disorder,pathology
Broca's aphasia,pathology
bulimia,pathology
coma,pathology
Creutzfeldt-Jakob disease,pathology
Dandy-Walker syndrome,pathology
dementia,pathology
depression,pathology
dysgraphia,pathology
dyslexia,pathology
dyspraxia,pathology
epilepsy,pathology
herpes zoster,pathology
Huntington's disease,pathology
Kluver-Bucy syndrome,pathology
Lou Gehrig's disease,pathology
migraine,pathology
multiple sclerosis,pathology
narcolepsy,pathology
obsessive compulsive disorder,pathology
panic disorder,pathology
Parkinson's disease,pathology
post-traumatic stress disorder,pathology
prosopagnosia,pathology
schizophrenia,pathology
social phobia,pathology
stress,pathology
stroke,pathology
Tay-Sachs disease,pathology
Tourette syndrome,pathology
traumatic brain injury,pathology
Wernicke-Korsakoff syndrome,pathology
Wernicke's aphasia,pathology
abducens nucleus,structure
amygdala,structure
angular gyrus,structure
anterior cingulate gyrus,structure
anterior olfactory nucleus,structure
basal forebrain nucleus,structure
basal ganglia,structure
basal nucleus of the amygdala,structure
Broca's area,structure
calcarine sulcus,structure
caudate nucleus,structure
centromedian nucleus,structure
cerebellum,structure
cingulate gyrus,structure
claustrum,structure
cochlear nuclei,structure
cuneate nucleus of the medulla,structure
dentate gyrus,structure
dentate nucleus,structure
diagonal band,structure
dorsal motor nucleus of the vagus nerve,structure
dorsomedial nucleus of the hypothalamus,structure
emboliform nucleus,structure
entorhinal area,structure
facial nucleus,structure
fastigial nucleus,structure
frontal eye field,structure
fusiform gyrus,structure
globose nucleus,structure
globus pallidus,structure
gracile nucleus of the medulla,structure
gustatory area,structure
habenula,structure
hippocampus,structure
hypoglossal nucleus,structure
hypothalamus,structure
indusium griseum,structure
inferior colliculus,structure
inferior frontal gyrus,structure
inferior olive,structure
inferior parietal lobule,structure
inferior salivatory nucleus,structure
inferior temporal gyrus,structure
insula,structure
interstitial nucleus of Cajal,structure
intralaminar nuclear group,structure
lateral geniculate nucleus,structure
lingual gyrus,structure
locus ceruleus,structure
mammillary body,structure
medial dorsal nucleus,structure
medial frontal gyrus,structure
medial geniculate body,structure
medial parietal gyrus,structure
medial prefrontal cortex,structure
medulla,structure
mesencephalic nucleus of the trigeminal nerve,structure
middle frontal gyrus,structure
middle temporal gyrus,structure
nucleus accumbens,structure
nucleus ambiguus,structure
oculomotor nuclear complex,structure
olfactory bulb,structure
operculum,structure
orbital gyri,structure
parahippocampal gyrus,structure
periaqueductal,structure
perirhinal area,structure
periventricular nucleus,structure
pineal body,structure
planum temporale,structure
pons,structure
pontine nuclei,structure
postcentral gyrus,structure
posterior cingulate gyrus,structure
posterior nucleus of the hypothalamus,structure
posterior parahippocampal gyrus,structure
precuneus,structure
prefrontal cortex,structure
premotor cortex,structure
primary auditory area,structure
primary motor cortex,structure
primary somesthetic area,structure
primary visual cortex,structure
pulvinar,structure
putamen,structure
raphe nuclei,structure
red nucleus,structure
reticular nucleus of the thalamus,structure
second auditory area,structure
secondary somesthetic area,structure
septum,structure
solitary nucleus,structure
straight gyrus,structure
stria terminalis,structure
striatum,structure
subiculum,structure
substantia nigra,structure
subthalamic nucleus,structure
superior colliculus,structure
superior frontal gyrus,structure
