serotonin,5HT
primary auditory area,A1
second auditory area,A2
anterior cingulate gyrus,ACC
acetylcholine,ACh
vasopressin,ADH
anandamide,AEA
primary auditory area,AI
second auditory area,AII
vasopressin,AVP
Blood-oxygen-level dependent,BOLD
corticotropin-releasing hormone,CRF
corticotropin-releasing hormone,CRH
dopamine,DA
dimethyltryptamine,DMT
dextromethorphan hydrobromide,DXM
frontal eye field,FEF
glucocorticoid,GC
gamma-hydroxybutyric acid,GHB
somatostatin,GHIH
glutamate,Glu
gonadotropin-releasing hormone,GnRH
human growth hormone,HGH
inferior frontal gyrus,IFG
inferior parietal lobule,IPL
locus ceruleus,LC
lateral geniculate nucleus,LGB
lateral geniculate nucleus,LGN
lysergic acid diethylamide,LSD
prolactin,LTH
primary motor cortex,M1
monoamine oxidase inhibitor,MAOI
methylenedioxymethamphetamine,MDMA
middle frontal gyrus,MFG
medial geniculate body,MGB
medial geniculate body,MGN
primary motor cortex,MI
norepinephrine,NA
nucleus accumbens,NAcc
norepinephrine,NE
orbital gyri,OFC
periaqueductal,PAG
posterior cingulate gyrus,PCC
prefrontal cortex,PFC
prolactin,PRL
primary somesthetic area,S1
secondary somesthetic area,S2
suprachiasmatic nucleus,SCN
primary somesthetic area,SI
secondary somesthetic area,SII
substantia nigra,SN
superior parietal lobule,SPL
somatostatin,SRIF
selective serotonin reuptake inhibitor,SSRI
superior temporal gyrus,STG
subthalamic nucleus,STN
triiodothyronine,T3
thyroxine,T4
tetrahydrocannabinol,THC
temporoparietal junction,TPJ
thyrotropin-releasing hormone,TRF
thyrotropin-releasing hormone,TRH
tryptophan,Trp
thyroid stimulating hormone,TSH
primary visual cortex,V1
primary visual cortex,VI
ventral posterolateral nucleus,VPL
ventral posteromedial nucleus,VPM
ventral tegmental area,VTA
Wisconsin card sorting,WCST
