
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Amygdala",("Nucleus cuneatus" OR "cuneate nucleus"),11,23346,681,24027,0.00045781828776
Ambiguus,"Posterior cingulate",1,1215,1901,3116,0.000320924261874
"Amygdala",Striatum,2539,20818,56401,77219,0.0328805086831
"Amygdala",("Ventral posterolateral" AND (nuclei OR nucleus)),6,23351,142,23493,0.000255395224109
"Angular gyrus",(Dorsomedial AND hypothal*),0,502,2139,2641,0.0
(Intralaminar AND (nuclei OR nucleus)),Perirhinal,19,1081,1181,2262,0.00839964633068
Cerebellum,Pons,4504,60896,21080,81976,0.05494291012
"Anterior cingulate",("Centromedian" AND (nuclei OR nucleus)),2,5800,214,6014,0.000332557366146
(Intralaminar AND (nuclei OR nucleus)),Subthalam*,69,1031,4060,5091,0.0135533294048
"Lateral geniculate","Primary auditory",5,5175,1864,7039,0.000710328171615
"Dentate gyrus",("Heschl's gyrus" OR "Transverse temporal"),14,11429,1134,12563,0.00111438350712
Fusiform,(Periventricular AND (nuclei OR nucleus)),18,5437,2477,7914,0.00227445034117
("Heschl's gyrus" OR "Transverse temporal"),"Paracentral lobule",1,1147,64,1211,0.000825763831544
("Heschl's gyrus" OR "Transverse temporal"),"Posterior parahippocampal gyrus",1,1147,40,1187,0.000842459983151
("Heschl's gyrus" OR "Transverse temporal"),Subgranular,0,1148,632,1780,0.0
Cingulum,"Wernicke's area",1,684,250,934,0.00107066381156
Claustrum,"Lateral geniculate",149,82592,5031,87623,0.00170046677242
("Gustatory cortex" OR "gustatory area"),("Red nucleus"),0,153,2376,2529,0.0
Cingulum,Thalamus,72,613,42810,43423,0.00165810745457
"Dentate gyrus","Nucleus basalis",30,11413,1817,13230,0.00226757369615
"Indusium griseum","Paracentral lobule",0,77,65,142,0.0
Hypothalam*,"Piriform cortex",327,107222,1416,108638,0.00300999650214
(Inferior AND collicul*),Pons,595,3688,24989,28677,0.0207483349025
Fusiform,"Ventromedial prefrontal",0,5455,3,5458,0.0
("Inferior olive" OR "Inferior olivary"),("Posterior nucleus" AND hypothalamus),2,2378,65,2443,0.000818665575113
"Interstitial nucleus",("Ventral posterior" AND (nuclei OR nucleus)),2,512,354,866,0.00230946882217
"Lingual gyrus",(Raphe AND (nuclei OR nucleus)),0,254,8321,8575,0.0
"Interstitial nucleus",("Locus coeruleus" OR "locus ceruleus"),34,480,7605,8085,0.00420531849103
(Inferior AND collicul*),Striatum,163,4120,58777,62897,0.00259153854715
("Nucleus gracilis" OR "gracile nucleus"),"Primary motor",1,373,3204,3577,0.000279563880347
(Inferior AND collicul*),"Superior temporal",21,4262,4086,8348,0.00251557259224
"Middle frontal",("Ventral anterior" AND (nuclei OR nucleus)),0,1028,237,1265,0.0
"Medial frontal",(Raphe AND (nuclei OR nucleus)),13,1582,8308,9890,0.00131445904954
"Medial frontal",Precuneus,97,1498,1123,2621,0.0370087752766
"Paracentral lobule","Primary sensory",1,64,3009,3073,0.000325414904003
"Posterior cingulate","Visual cortex",73,1829,22807,24636,0.00296314336743
Pons,"Stria terminalis",157,25427,2573,28000,0.00560714285714
Pons,Subgranular,1,25583,631,26214,3.81475547417e-05
