Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Ambiguus,Inferior temporal,2,1214,6613,7827,0.000255526
Amygdala,Postcentral gyrus,19,23338,605,23943,0.000793551
Cingulum,"(""Posterior nucleus"" AND hypothalamus)",9,676,2731,3407,0.00264162
Claustrum,Suprachiasmatic,18,837,6008,6845,0.002629657
Broca's area,"(""Medial dorsal"" AND nucl*)",0,52423,1,52424,0
Calcarine fissure,(Dorsomedial AND hypothal*),0,120,0,120,0
Calcarine fissure,Entorhinal,1,119,5546,5665,0.000176523
Broca's area,Parahippocamp*,0,52423,0,52423,0
Calcarine fissure,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,120,143,263,0
Basal forbrain,(Superior AND collicul*),831,1,172327,172328,0.0048222
Cerebellum,"(Medulla OR ""medulla oblongata"")",3139,53744,19426,73170,0.042900096
Cerebellum,"(""Superior olive"" OR ""superior olivary"")",45,56838,469,57307,0.000785244
Cerebellum,Pons,3315,53568,14238,67806,0.048889479
Diagonal band of Broca,"(""Posterior nucleus"" AND hypothalamus)",56,852,2684,3536,0.015837104
Diagonal band of Broca,Superior frontal,9,899,4946,5845,0.001539778
Hippocamp*,(Periventricular AND (nuclei OR nucleus)),2,182,1072,1254,0.001594896
Hippocamp*,Medial frontal,0,184,5878,6062,0
Dentate gyrus,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,11957,6,11963,0
Hippocamp*,Visual cortex,9,175,39244,39419,0.000228316
(Inferior AND collicul*),Primary auditory,388,80945,4998,85943,0.00451462
(Inferior AND collicul*),(Superior AND collicul*),17298,64035,155029,219064,0.078963225
Inferior temporal,Orbitofrontal,176,6439,2820,9259,0.019008532
Insula*,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",2,3108,141,3249,0.000615574
Interstitial nucleus,Thalamus,77,1962,32463,34425,0.002236747
Inferior frontal,Stria terminalis,8,5114,2727,7841,0.001020278
Inferior temporal,Perirhinal,68,6547,1132,7679,0.00885532
"(""Medial dorsal"" AND nucl*)",Pontine nuclei,0,1,7708,7709,0
Inferior temporal,Paracentral lobule,13,6602,54,6656,0.001953125
"(""Inferior olive"" OR ""Inferior olivary"")",Medial frontal,9,825,5869,6694,0.001344488
Medial frontal,Substantia nigra,162,5716,19227,24943,0.006494808
Infralimbic,Olfactory bulb,9,487,11260,11747,0.000766153
Middle temporal,Zona incerta,32,37391,2888,40279,0.000794459
Lateral geniculate,periaqueductal,68,5767,4508,10275,0.006618005
Middle temporal,(Septal AND (nuclei OR nucleus)),6,37417,2407,39824,0.000150663
"(Medulla OR ""medulla oblongata"")",Perirhinal,4,22561,1196,23757,0.000168371
Nucleus accumbens,Parahippocamp*,0,12807,0,12807,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Operculum,0,8,926,934,0
Olfactory bulb,Pontine nuclei,176,11093,7532,18625,0.009449664
Pineal,"(""Ventral posterior"" AND (nuclei OR nucleus))",12,14391,1466,15857,0.000756764
Posterior cingulate,Subgranular,0,2925,632,3557,0
Nucleus basalis,"(""Superior olive"" OR ""superior olivary"")",1,2329,513,2842,0.000351865
Posterior parietal,Zona incerta,17,5697,2903,8600,0.001976744
Pontine nuclei,Putamen,218,7490,10531,18021,0.012096998
(Septal AND (nuclei OR nucleus)),(Superior AND collicul*),101,2312,172226,174538,0.000578671
Subgranular,Visual cortex,1,631,39252,39883,2.51E-05
Premotor,Superior temporal,314,4415,8647,13062,0.024039198
Postcentral gyrus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,624,2,626,0
(Superior AND collicul*),Temporoparietal,149,172178,1311,173489,0.000858844
Putamen,Pulvinar,54,10695,1079,11774,0.004586377
Caudate,Perirhinal,40,18761,1160,19921,0.002007931
Caudate,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,18801,6,18807,0
Angular gyrus,Caudate,22,619,18779,19398,0.001134138
Ambiguus,Lateral geniculate,8,1208,5827,7035,0.001137171
Angular gyrus,(Superior AND collicul*),223,418,172104,172522,0.001292589
Amygdala,Fusiform,269,23088,5186,28274,0.009514041
Anterior cingulate,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,6773,8,6781,0
Dorsolateral prefrontal,(Superior AND collicul*),453,3159,171874,175033,0.002588083
(Dorsomedial AND hypothal*),Subiculum,0,0,1880,1880,0
Basal forbrain,(Inferior AND collicul*),533,1,81333,81334,0.006553225
Calcarine fissure,Claustrum,0,120,855,975,0
Broca's area,Thalamus,2691,49732,29849,79581,0.033814604
"(""Centromedian"" AND (nuclei OR nucleus))",Perirhinal,1,142,1199,1341,0.000745712
"(""Centromedian"" AND (nuclei OR nucleus))",Visual cortex,7,136,39246,39382,0.000177746
Globus pallidus,Superior temporal,51,8055,8910,16965,0.003006189
Cingulate,"(""Medial dorsal"" AND nucl*)",0,11104,1,11105,0
Globus pallidus,Primary auditory,12,8094,5374,13468,0.000891001
Diagonal band of Broca,Lingual gyrus,0,908,433,1341,0
Diagonal band of Broca,Operculum,1,907,925,1832,0.000545852
Dentate gyrus,"(""Ventral anterior"" AND (nuclei OR nucleus))",50,11907,1408,13315,0.003755163
Diagonal band of Broca,Posterior cingulate,14,894,2911,3805,0.003679369
(Inferior AND collicul*),Temporoparietal,133,81200,1327,82527,0.001611594
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Posterior parietal,2,4,5712,5716,0.000349895
Inferior frontal,Operculum,127,4995,799,5794,0.021919227
(Intralaminar AND (nuclei OR nucleus)),Lingual gyrus,0,776,433,1209,0
Insula*,"(""Superior olive"" OR ""superior olivary"")",0,3110,514,3624,0
Interstitial nucleus,Ventromedial prefrontal,1,2038,763,2801,0.000357015
(Intralaminar AND (nuclei OR nucleus)),"(""Medial dorsal"" AND nucl*)",1,775,0,775,0.001290323
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Prefrontal,0,6,24101,24107,0
Medial frontal,Primary auditory,40,5838,5346,11184,0.003576538
Medial geniculate,Posterior parahippocampal gyrus,3,1859,486,2345,0.001279318
Nucleus accumbens,Precuneus,7,12800,1213,14013,0.000499536
"(Medulla OR ""medulla oblongata"")",(Septal AND (nuclei OR nucleus)),84,22481,2329,24810,0.003385732
Nucleus basalis,Perirhinal,14,2316,1186,3502,0.003997716
Posterior parietal,Supplementary motor,260,5454,2514,7968,0.032630522
Perirhinal,Stria terminalis,30,1170,2705,3875,0.007741935
Posterior parietal,Primary sensory,136,5578,11470,17048,0.007977475
Striatum,Stria terminalis,187,44561,2548,47109,0.003969518
Primary motor,Subiculum,15,14724,1865,16589,0.000904214
Supplementary motor,Thalamic reticular,10,2764,3701,6465,0.00154679
Substantia nigra,Ventromedial prefrontal,32,19357,732,20089,0.001592912
(Dorsomedial AND hypothal*),Subthalam*,0,0,0,0,0
Ambiguus,Cingulate,8,1208,11096,12304,0.000650195
Angular gyrus,"(""Centromedian"" AND (nuclei OR nucleus))",0,641,143,784,0
Ambiguus,Putamen,20,1196,10729,11925,0.001677149
Angular gyrus,Nucleus accumbens,1,640,12806,13446,7.44E-05
Angular gyrus,Visual cortex,131,510,39122,39632,0.00330541
Anterior cingulate,Striatum,493,6280,44255,50535,0.009755615
Cingulum,Visual extrastriate,1,684,1533,2217,0.00045106
(Dorsomedial AND hypothal*),Primary auditory,0,0,5386,5386,0
Fusiform,Hypothalam*,0,5455,3,5458,0
Entorhinal,Striatum,240,5307,44508,49815,0.004817826
Calcarine fissure,Cerebellum,3,117,56880,56997,5.26E-05
Basal forbrain,Primary sensory,184,1,11606,11607,0.015852503
Broca's area,Entorhinal,281,52142,5266,57408,0.004894788
Caudate,Entorhinal,198,18603,5349,23952,0.008266533
Cerebellum,Ventral tegmentum,165,56718,4661,61379,0.002688216
Cerebellum,Precuneus,181,56702,1039,57741,0.003134688
Globus pallidus,"(""Medial dorsal"" AND nucl*)",0,8106,1,8107,0
Diagonal band of Broca,(Inferior AND collicul*),25,883,81308,82191,0.00030417
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Superior frontal,0,6,4955,4961,0
Indusium griseum,Parahippocamp*,0,77,0,77,0
(Inferior AND collicul*),"(""Ventral anterior"" AND (nuclei OR nucleus))",195,81138,1263,82401,0.002366476
Insula*,Postcentral gyrus,95,3015,529,3544,0.026805869
Medial frontal,Prefrontal,1694,4184,22407,26591,0.063705765
Middle frontal,Visual cortex,1120,19352,38133,57485,0.019483343
Middle temporal,"(""Superior olive"" OR ""superior olivary"")",3,37420,511,37931,7.91E-05
Medial geniculate,Thalamic reticular,229,1633,3482,5115,0.044770283
Medial geniculate,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",18,1844,125,1969,0.009141696
"(""Medial dorsal"" AND nucl*)","(""Mammillary body"" OR ""Mammillary bodies)",0,1,0,1,0
Parahippocamp*,Precuneus,0,0,1220,1220,0
Pineal,Superior frontal,10,14393,4945,19338,0.000517117
Piriform cortex,Visual extrastriate,0,2070,1534,3604,0
"(""Posterior nucleus"" AND hypothalamus)",Substantia nigra,156,2584,19233,21817,0.007150387
"(""Posterior nucleus"" AND hypothalamus)",Stria terminalis,260,2480,2475,4955,0.05247225
Perirhinal,Ventral tegmentum,9,1191,4817,6008,0.001498003
Pineal,Postcentral gyrus,0,14403,624,15027,0
Orbitofrontal,Putamen,113,2883,10636,13519,0.008358606
Supplementary motor,"(""Ventral anterior"" AND (nuclei OR nucleus))",24,2750,1434,4184,0.005736138
Prefrontal,Pulvinar,69,24032,1064,25096,0.002749442
Subgranular,Striatum,17,615,44731,45346,0.000374895
Putamen,Subthalam*,0,10749,0,10749,0
"(""Red nucleus"")","(""Straight gyrus"" OR ""gyrus rectus"")",0,4498,2,4500,0
Ambiguus,"(""Gustatory cortex"" OR ""gustatory area"")",1,1215,68,1283,0.000779423
Anterior cingulate,"(""Gustatory cortex"" OR ""gustatory area"")",2,6771,67,6838,0.000292483
Anterior cingulate,"(""Mammillary body"" OR ""Mammillary bodies)",8,6765,0,6765,0.001182557
Claustrum,Substantia nigra,108,747,19281,20028,0.005392451
(Dorsomedial AND hypothal*),Ventral tegmentum,0,0,4826,4826,0
(Dorsomedial AND hypothal*),"(""Locus coeruleus"" OR ""locus ceruleus"")",0,0,3308,3308,0
Calcarine fissure,Fusiform,3,117,5452,5569,0.000538696
